Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
-1.2067,0.45134,-0.81571,1.2897,0.48519,3.0642,1.0295,0.16758,0.505,0.505,0.011
-0.07648,-1.1081,-1.6642,3.6385,0.94215,-0.43933,1.6182,0.097805,0.40611,0.46923,0.0086361
1.3029,-1.0939,2.8358,-0.48561,0.38796,0.45717,0.18072,0.14594,0.39495,0.45175,0.0030915
-1.0619,-1.0846,-2.7331,3.9775,0.71067,-1.8263,1.4889,0.12461,0.58974,0.71893,0.019688
2.479,0.34847,0.30846,0.93367,-1.8753,-1.104,1.1294,0.057372,0.505,0.505,0.011
0.23635,0.54917,-0.056323,0.57792,-0.86252,0.58467,0.26479,0.10354,0.32228,0.3351,0.014145
2.4321,-1.5687,1.6865,2.5633,-0.32515,3.1396,0.99555,0.016547,0.505,0.505,0.011
1.0024,-0.45185,-2.2353,-0.50825,3.4918,2.2396,1.4858,0.1192,0.26355,0.26708,0.0025463
-2.6369,0.041926,-1.4758,-0.81482,2.2661,0.4348,0.91617,0.29678,0.23558,0.41166,0.016863
1.7816,0.70403,-3.0618,0.7576,2.5001,0.3445,1.1939,0.21553,0.17817,0.3216,0.016341
1.8143,0.62633,-2.2468,0.79684,0.77046,2.2833,0.54012,0.15318,0.17134,0.37112,0.0085901
0.19107,-1.435,-2.1503,1.1042,-1.8295,2.6647,1.303,0.043375,0.42749,0.39625,0.0075376
-0.40331,-0.16827,1.6809,3.5722,0.12968,3.9921,1.7678,0.17686,0.046279,0.39599,0.019115
0.58216,1.1004,-2.8937,0.40828,2.7328,1.0629,0.88983,0.09942,0.45233,0.62946,0.006807
-2.4569,0.57298,1.4391,3.6963,0.518,-0.62535,1.1189,0.25106,0.06582,0.44877,0.016023
-0.41296,0.65393,-2.9174,2.3627,-0.095443,1.5655,0.69469,0.075298,0.43891,0.42773,0.0026452
-2.8539,0.9891,1.5401,1.595,0.2725,1.619,0.82255,0.10463,0.20347,0.47608,0.0093249
-2.1181,0.19759,1.0237,1.4427,-0.13892,3.1443,0.7869,0.035929,0.079354,0.2128,0.017718
-0.10454,1.4174,-2.5829,-1.9108,0.43028,0.3745,0.89394,0.053027,0.23583,0.23583,0.015894
1.8341,0.63166,-0.5254,2.2366,2.1875,1.2646,0.97213,0.1656,0.41618,0.41618,0.0042338
-2.5393,0.48899,-1.3662,-0.29869,1.8286,1.5744,1.1688,0.11843,0.020693,0.062853,0.019879
-0.94411,1.4739,2.0134,2.8177,2.1266,-1.3226,1.6031,0.091524,0.065285,0.1974,0.018199
-1.7097,-1.1839,2.2943,-0.62642,-0.65158,-0.62362,0.64453,0.077358,0.15652,0.32766,0.017335
-2.6131,-1.0597,-2.2133,2.6573,2.4913,0.83314,1.5576,0.30978,0.13742,0.87258,0.017683
0.4339,-0.12781,-1.8484,-1.0341,3.1054,3.5839,1.5952,0.032623,0.47085,0.47085,0.019559
-0.064034,-0.88627,-0.32664,-1.1544,-0.013572,-1.6831,0.35646,0.056022,0.47798,0.45823,0.010509
2.8658,-0.77166,2.8572,3.0725,0.97196,3.4687,1.2868,0.28091,0.31837,0.88525,0.016485
-0.051653,0.44474,1.3753,2.1138,-1.0889,1.1974,1.5696,0.082891,0.26275,0.26275,0.012596
0.68187,0.63658,0.86375,0.3733,1.6711,1.4716,0.7045,0.11825,0.2546,0.34164,0.0069487
2.8172,0.43298,2.5757,2.9423,2.7913,1.6498,1.6256,0.39422,0.042023,0.095028,0.013977
-0.44494,1.1195,-0.92436,-1.1778,-1.5031,-1.9677,0.67531,0.74209,0.48761,0.40597,0.012801
-0.075831,0.084467,2.2746,1.7699,1.6868,-0.15552,1.6738,0.035231,0.17037,0.46499,0.01695
0.76984,0.29854,-3.0989,-0.87346,1.8839,2.4338,0.94071,0.11082,0.27241,0.32602,0.014189
-1.863,0.90289,-0.81304,0.47648,-0.61422,1.7015,0.43872,0.12697,0.066343,0.10971,0.011633
0.40788,0.34877,-0.37782,1.3395,0.075097,2.046,0.61477,0.078459,0.61,0.4,0.0090908
1.6759,-1.2186,2.5809,0.48623,-1.0226,0.65852,0.25001,0.017726,0.049193,0.22886,0.015805
-1.3331,-0.60627,2.3166,-0.75524,0.56347,2.0006,1.1092,0.15704,0.17426,0.10371,0.016306
-2.8801,-0.98404,-1.1128,0.60786,0.73976,-1.8778,1.6541,0.83686,0.011796,0.027598,0.01968
2.5596,1.0671,-1.126,3.6685,2.1691,0.36147,1.5115,0.028307,0.075561,0.35004,0.014115
2.6245,-1.1135,-2.116,1.8455,-0.165,2.0123,1.1094,0.11144,0.27682,0.47138,0.011987
-2.1601,-1.3241,1.1826,2.3496,3.5946,2.8261,1.7888,0.19962,0.62157,0.62157,0.013119
2.2794,-1.4672,1.7398,0.73813,0.31925,2.3508,0.32892,0.10721,0.26327,0.26327,0.015395
-0.92926,0.16124,-0.25084,2.494,-1.7189,-0.18261,0.99729,0.078462,0.40223,0.43773,0.017522
1.0414,0.75478,3.0699,2.7997,1.9382,1.2228,0.89128,0.42216,0.18392,0.32848,0.0077987
-0.72694,0.77201,-1.1237,-1.1504,-0.96379,2.7422,0.87338,0.081179,0.48011,0.48519,0.0044989
0.44151,0.4705,-1.9934,2.2621,1.4067,1.2673,1.2727,0.099575,0.14844,0.32018,0.0079896
-0.71347,-0.78059,2.0935,1.7757,1.5663,-1.8613,1.6434,0.014826,0.32924,0.48593,0.0063997
-0.29198,-1.4575,-0.74739,-1.7708,-0.16843,0.14507,0.36355,0.10138,0.15099,0.30707,0.01508
0.32904,0.23845,-0.57476,-0.94995,-1.2612,0.12902,0.36295,0.10921,0.27016,0.27016,0.0031791
1.4564,0.82311,0.25112,3.9743,1.2149,1.0895,1.6075,0.36547,0.17007,0.43358,0.0088837
-1.0407,-1.3779,-1.9744,0.99693,-0.98908,3.7985,0.8278,0.11165,0.63077,0.81391,0.0032686
-2.0586,1.1002,2.5392,1.1499,1.791,2.4577,1.4987,0.044768,0.117,0.11646,0.0066444
3.139,-0.426,2.8722,0.5431,0.84716,3.7562,1.7677,0.55404,0.086545,0.21855,0.01366
2.8319,-1.0204,-1.6613,-0.37999,-1.1114,3.183,1.8331,0.10824,0.25399,0.5292,0.01144
-1.8417,0.81447,-2.7594,1.5739,2.7127,1.9231,1.9067,0.04886,0.14046,0.32701,0.0096727
-1.1979,-1.3188,-2.8166,1.9303,1.7014,3.3301,1.4399,0.018286,0.29998,0.30502,0.0082961
0.48572,-0.6966,-2.7207,0.051761,1.2481,0.1202,0.27495,0.2759,0.45529,0.34413,0.0044315
-1.7029,-1.3965,-0.56375,2.0456,3.3875,2.0453,1.4974,0.26484,0.39208,0.48196,0.0091583
0.77085,-1.5429,2.76,1.4645,3.9464,2.3967,1.8358,0.62157,0.86859,0.99943,0.0047038
-2.245,1.5183,3.0144,3.4269,-0.59162,-1.2154,1.1632,0.10975,0.49553,0.49553,0.0077337
-2.5334,-1.0691,-0.24202,-0.5572,-0.089767,1.3057,0.15372,0.023646,0.14671,0.24435,0.019436
0.013851,-1.2661,-1.6123,2.7811,-0.87893,1.6567,0.97807,0.096963,0.44378,0.46059,0.01223
-0.87353,-0.39302,-2.7327,2.8788,-1.9913,-0.85515,0.80041,0.10219,0.94431,0.85001,0.0042898
-0.41199,-1.2328,-0.056459,1.7312,3.692,-1.3077,1.7074,0.28414,0.48684,0.48684,0.01067
-0.1176,-0.82356,1.807,3.4829,0.29416,0.82605,1.0314,0.67065,0.17144,0.52835,0.018301
-1.0273,1.5526,0.62336,0.95051,2.4718,2.2829,1.6949,0.13064,0.13656,0.16869,0.0054063
-2.807,1.2316,-2.7326,-0.32607,2.9382,-0.54534,1.6396,0.090906,0.10685,0.3972,0.00904
3.1316,-1.1256,0.10282,0.34571,-0.60795,2.0915,0.42467,0.15428,0.091778,0.091778,0.0034869
-3.0922,0.22455,-2.1222,-0.24987,2.2442,-1.0646,1.0506,0.010546,0.045331,0.19557,0.016813
-0.15471,0.20542,-2.2333,1.8377,1.2752,1.1576,0.59953,0.0075181,0.25207,0.17538,0.014878
-2.7251,0.086651,-0.98981,2.1834,-1.1105,0.84917,0.92567,0.89326,0.13378,0.18453,0.014722
-2.0445,0.83387,-3.0618,-1.7203,2.1655,3.1212,1.5186,0.022088,0.057368,0.090579,0.019878
-0.73392,0.71926,2.132,2.9816,0.76536,0.10527,1.166,0.12015,0.051846,0.042759,0.019181
0.091982,-0.43309,-2.7517,-1.946,-0.61387,-0.93724,0.68932,0.083785,0.505,0.505,0.011
1.9654,-1.3651,-2.3837,0.8436,-0.50291,2.1467,0.38853,0.015721,0.25281,0.2334,0.0062515
-2.2082,-1.3943,1.971,0.72651,3.9031,-0.79171,1.3211,0.57628,0.25216,0.37695,0.01762
2.8958,1.4023,-1.3328,3.7098,1.4199,0.84415,1.2652,0.61988,0.12034,0.4446,0.017076
-1.1578,0.60268,1.0734,0.31301,-1.6841,2.3733,1.139,0.10467,0.053015,0.10071,0.019754
0.75395,-1.3074,-0.69001,-1.9058,3.5351,2.8874,1.7018,0.019861,0.73958,0.73958,0.0067349
0.99939,1.3825,1.2977,0.25461,3.0259,0.75045,1.1452,0.24462,0.21458,0.45935,0.0064792
-0.3448,0.90156,-2.2877,-0.84837,-0.096727,-1.0358,0.58864,0.020171,0.7206,0.52974,0.013174
2.5836,0.0006472,0.48876,2.4211,-1.6207,1.1144,1.8825,0.10127,0.37299,0.36384,0.012562
0.87133,-0.53567,-0.83014,-0.4454,-0.77986,-1.3519,0.30699,0.63936,0.40276,0.40276,0.012859
-3.0122,0.56783,-2.575,3.0022,-0.47148,2.0897,1.5893,0.016077,0.32779,0.29251,0.0088637
-0.32546,-1.2251,0.14238,-1.9339,2.072,2.8054,1.0228,0.034492,0.93403,0.48048,0.004032
-1.7539,1.1901,2.6909,2.2055,1.4023,0.63803,0.70082,0.030019,0.26188,0.38453,0.012669
2.4852,1.2183,1.2006,-0.22542,3.077,0.83183,1.199,0.15676,0.55032,0.81508,0.0041893
2.2613,-0.45611,-0.49544,-0.19251,3.1153,2.0987,1.2281,0.069654,0.20682,0.47347,0.016351
-1.4197,0.39564,1.8592,1.7185,0.60794,0.6357,0.50011,0.19491,0.10411,0.15324,0.0041845
0.81361,-0.48444,1.3067,-0.79988,-0.78127,0.18026,0.78911,0.082779,0.16487,0.43839,0.0097889
0.61733,-1.5491,0.76749,0.3656,-1.7278,-1.294,0.91015,0.13665,0.023927,0.02836,0.016726
2.5082,0.35932,-0.73966,2.8268,-1.0172,3.2372,1.7861,0.30686,0.31447,0.944,0.016595
1.9827,-0.77975,-1.8775,-0.95764,-1.1172,2.1416,0.57357,0.2463,0.53265,0.5211,0.0089348
-0.024268,-0.75977,0.34964,-1.5485,0.096887,-0.61104,0.21928,0.10911,0.42201,0.23046,0.013024
-0.2512,-1.5175,-1.9688,0.022375,0.52604,2.5814,0.79692,0.025074,0.13459,0.13459,0.0038149
-1.5054,0.35464,0.31978,3.3846,-0.85414,-1.0256,1.4394,0.016541,0.028817,0.2323,0.011544
-3.0267,0.77205,0.5214,-1.0808,1.884,0.98446,1.1268,0.10432,0.36976,0.36976,0.010284
3.0414,1.2281,2.0249,1.7782,0.86452,-0.035909,1.4384,0.3548,0.505,0.505,0.011
0.50392,-0.69292,-1.8505,-0.08286,-1.4137,1.2953,0.40832,0.48374,0.32742,0.32742,0.0077713
-1.8864,-0.79466,-0.16261,0.035309,2.7052,2.3,0.93334,0.21398,0.47777,0.44211,0.013532
-2.2653,-0.044939,0.62611,2.6898,2.6255,2.7588,1.9091,0.38531,0.081502,0.13513,0.0033
1.8817,-0.66316,1.2511,-0.66814,1.0968,-0.066318,1.4774,0.065577,0.505,0.505,0.011
-0.17943,-0.28724,0.28311,-1.506,3.4753,2.402,1.8689,0.11381,0.53634,0.47366,0.01157
2.5453,1.556,-0.41895,-0.81725,1.132,2.8138,0.79429,0.028583,0.028118,0.064359,0.019223
-1.1357,1.3879,0.16846,3.8117,2.8884,0.35434,1.8771,0.033006,0.10496,0.23626,0.0088717
3.0867,0.47044,-1.1992,1.351,-1.7313,3.9095,1.7562,0.10131,0.32622,0.52835,0.0049618
-2.495,0.744,2.5112,-0.63099,3.3061,-0.69477,1.8804,0.10553,0.34908,0.33028,0.019658
1.5341,-0.75007,-2.2259,-0.32296,0.84223,3.2412,1.5846,0.013712,0.14204,0.18963,0.016734
-2.9451,0.54939,0.70077,0.85295,-1.725,0.747,1.0833,0.16973,0.26069,0.46077,0.0083423
-0.97891,1.5155,-1.359,-0.75194,0.27025,-1.5946,0.22478,0.1189,0.21874,0.21874,0.011543
-1.6391,0.081097,-0.43028,0.73053,-1.1885,-0.83138,0.30571,0.12667,0.505,0.505,0.011
-1.2919,0.20691,-2.4796,-1.6666,-1.2655,-1.6506,0.73876,0.0054731,0.27542,0.36946,0.019837
-2.4976,-1.4215,2.5344,1.3886,-1.6747,3.3397,1.3039,0.10764,0.44463,0.46391,0.010339
0.4,-0.70824,2.8811,3.163,-0.048606,2.572,0.91094,0.14678,0.85681,0.99543,0.0046236
-0.9042,-0.20709,-1.4206,2.9313,0.74334,-0.36576,1.0349,0.008385,0.46113,0.23398,0.0059941
1.9275,1.4519,0.93743,-0.52032,-0.2604,2.1716,0.63477,0.11074,0.10105,0.25939,0.015284
2.6786,0.6796,2.5861,-1.7668,0.98914,0.076115,0.92643,0.11477,0.23729,0.34865,0.0075216
1.6387,0.78181,1.8721,0.32506,-1.4449,3.293,1.6231,0.0076312,0.085529,0.24553,0.019508
0.40687,-0.38334,-2.4054,0.97439,-1.2805,-0.69008,0.35243,0.38226,0.46968,0.4714,0.019968
2.0239,-0.16147,1.3645,-1.4477,-1.029,-0.25446,0.50515,0.029157,0.24832,0.43555,0.013996
2.3557,-0.44513,0.7632,-1.6477,-0.56907,-0.18166,1.3931,0.043968,0.18866,0.21069,0.0048706
-1.6397,-0.06805,0.8132,1.1745,1.3097,3.5681,1.0084,0.12172,0.4168,0.63021,0.012604
-2.2781,1.352,1.5219,-0.93902,-0.56877,3.5962,1.3488,0.01067,0.01081,0.059904,0.019443
-1.0401,-0.84369,-1.6049,0.51716,1.1249,2.367,0.50271,0.060177,0.34864,0.34864,0.013843
0.6835,-0.42238,-0.36863,-1.5766,3.0492,0.9029,1.1887,0.094552,0.45472,0.45472,0.010086
-0.42279,1.2454,3.0564,-1.3811,3.6135,-0.26789,1.8443,0.043008,0.80716,0.98847,0.016494
-3.14,1.2867,3.0257,-0.72323,3.1678,0.005994,1.623,0.96057,0.11875,0.25146,0.0081866
