Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
2.0927,1.3951,6.35E-16,0,2,2,1.2134,0.019627,0.505,0.505,0.011
-0.9318,0,0.69756,0,2,2,1.2673,0.043555,0.505,0.505,0.011
-1.2832,-0.3462,0.3462,0,0,0,0.23547,0.038521,0.505,0.505,0.011
2.7902,0.69756,0.69756,0,2,0,0.75705,0.078515,0.505,0.505,0.011
-1.6294,0.46332,-1.166,2,0,2,0.76263,0.2925,0.505,0.505,0.011
-1.166,-0.23424,0.46332,0,-2,2,0.57272,0.014561,0.49282,0.49282,0.010779
1.1609,0.69756,0.46332,2,-2,0,1.9494,0.021775,0.505,0.505,0.011
-0.23424,-5.03E-17,3.0245,2,2,0,0.73953,0.10424,0.505,0.505,0.011
-0.46848,0.69756,-1.8636,-2,2,0,0.96688,0.055735,0.5025,0.5025,0.010955
1.9756,1.2832,1.5122,2,2,-2,1.0033,0.14498,0.505,0.505,0.011
-1.166,1.1609,1.8584,2,2,0,1.0863,0.54665,0.505,0.505,0.011
-0.9318,0.46332,-0.23424,0,-2,-2,0.76819,0.10746,0.505,0.505,0.011
2.6731,1.2832,-2.6783,-2,2,0,1.4913,0.89526,0.505,0.505,0.011
-0.81468,-1.278,-1.0489,2,-2,0,0.76316,0.14353,0.505,0.505,0.011
-1.8636,-1.166,1.41E-16,0,2,0,1.4482,0.033019,0.505,0.505,0.011
-1.166,-0.23424,1.1609,-2,-2,-2,1.2364,0.10863,0.505,0.505,0.011
-2.5612,0.69756,1.3951,0,0,-2,0.69438,0.054184,0.505,0.505,0.011
-1.0489,-1.5122,-0.81468,0,2,0,0.43124,0.099603,0.505,0.505,0.011
-0.9318,0.46332,-2.7954,-2,0,0,0.4278,0.21518,0.505,0.505,0.011
-1.0489,-0.3462,-2.444,-2,-2,-2,1.2216,0.098528,0.505,0.505,0.011
-2.444,-0.58044,1.9756,2,-2,0,1.6997,0.12934,0.49138,0.49138,0.011248
-1.8636,-0.46848,0,2,0,2,0.67271,0.062971,0.505,0.505,0.011
2.2098,-1.5122,-0.35136,0,2,0,1.1338,0.114,0.505,0.505,0.011
-1.7465,0.35136,-1.2832,0,2,2,0.74776,0.73625,0.505,0.505,0.011
-0.46848,-0.23424,-0.23424,2,0,2,1.0226,0.15229,0.505,0.505,0.011
-1.2832,-0.3462,-1.2832,-2,-2,-2,1.5196,0.030249,0.505,0.505,0.011
1.1609,1.1609,0.69756,2,-2,0,0.78601,0.13418,0.505,0.505,0.011
1.3951,0.69756,-0.9318,2,2,0,0.65278,0.10226,0.505,0.505,0.011
1.5122,-0.3462,-2.444,0,2,2,0.52264,0.17583,0.505,0.505,0.011
-0.35136,-1.278,-2.6783,0,0,2,0.26882,0.1683,0.505,0.505,0.011
-1.2832,-0.3462,-1.0489,2,-2,2,1.0138,0.16521,0.505,0.505,0.011
