Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
1.4561,1.253,-0.815,0.67571,1.3804,0.21165,0.24219,0.22991,0.019715,5.0512,0.22855,0.0065945
1.3389,-1.5591,0.91286,-0.20561,0.58321,-0.50844,0.042829,0.27245,0.016417,0.54701,0.089914,0.057594
1.2588,1.4938,-0.61787,0.48066,-0.86301,-0.083048,0.24791,0.35844,0.017674,5.1792,0.1191,0.011253
2.9957,0.60619,-1.4671,-0.3907,0.12167,0.50622,0.084061,0.2631,0.018304,5.3476,0.17365,0.024449
-0.34417,1.4789,1.5431,-0.45716,-0.95261,-0.17563,0.069337,0.28463,0.016017,4.3712,0.15724,0.034565
0.73446,-1.1651,0.85479,0.35743,0.5053,1.3879,0.065338,0.17533,0.017394,2.1268,0.34275,0.021947
-0.4946,-1.1613,1.5135,1.37,-0.36798,0.14854,0.064056,0.25175,0.0085416,5.2381,0.21474,0.022801
2.2386,1.2129,0.014663,-0.71295,-0.49489,-0.11866,0.16346,0.34681,0.019915,3.8396,0.10735,0.018512
-1.9641,0.94566,1.1241,1.2016,-0.2232,-1.2173,0.048694,0.30218,0.018532,0.35665,0.19774,0.051092
0.84207,-0.15104,3.1182,-0.47109,0.73446,0.3979,0.13103,0.29361,0.0072351,4.9001,0.094654,0.016665
-0.27479,0.054118,2.3597,-0.26084,0.62103,0.2798,0.08563,0.48297,0.013192,0.53001,0.11072,0.042518
-0.81324,-0.76129,-0.0070974,-1.33,-0.016579,-1.2044,0.23144,0.25998,0.012025,4.62,0.23598,0.0094026
0.82245,-0.15091,2.2822,-0.17701,-0.10711,0.42035,0.080564,0.24085,0.0087302,5.0459,0.094645,0.019534
2.1747,-1.4007,0.73745,-0.87976,-0.73753,1.0995,0.11107,0.35933,0.0080779,4.9226,0.2341,0.024286
1.1912,-0.98786,0.46902,0.92972,-0.4313,0.55469,0.086598,0.30054,0.0070594,5.2438,0.2025,0.024237
1.5476,-1.4415,2.7351,-0.30133,-0.11834,0.063134,0.26206,0.4114,0.0066166,4.6506,0.063378,0.012561
3.0636,-0.0086925,-1.3316,1.0594,0.32218,-0.13638,0.082489,0.31293,0.017772,4.2677,0.19354,0.031147
-1.8592,1.3524,0.5975,0.21783,-0.19644,-0.76439,0.098228,0.23196,0.013279,5.1779,0.15472,0.01985
1.1726,-0.9313,1.3712,0.25506,-0.2736,-0.52352,0.072633,0.30285,0.018003,2.1106,0.13676,0.032617
3.094,-0.96424,-0.76684,-0.1518,0.17992,1.8123,0.11173,0.22848,0.014016,4.9223,0.29917,0.017888
2.3491,1.4078,-0.47673,-0.046247,0.0032285,-0.39478,0.23846,0.37728,0.013531,4.9723,0.098584,0.013521
0.59172,0.8533,-1.2404,0.16623,0.30357,0.057427,0.13369,0.3768,0.0087217,0.15992,0.01294,0.025268
0.88393,1.4479,-0.38878,-0.24362,-0.82254,0.26391,0.20796,0.22255,0.013471,5.4912,0.10306,0.0087334
0.54918,-1.1918,-2.1653,0.54881,1.152,-0.43266,0.19008,0.26518,0.015777,3.5795,0.16199,0.011678
-1.6977,0.8535,-0.89359,1.0595,0.56707,0.11174,0.20291,0.45497,0.012475,2.6621,0.19663,0.019252
-1.0397,-0.074071,-1.7412,-0.27711,-0.040262,-1.1243,0.31503,0.21596,0.0022909,5.0118,0.13779,0.0011966
-0.13313,0.31109,-1.0178,-0.59794,0.12672,0.78695,0.38836,0.21775,0.018416,3.6779,0.069237,0.0043416
-0.61413,-1.0109,0.49134,-0.20798,-0.78845,0.86138,0.17386,0.22887,0.01941,3.0024,0.12169,0.01104
1.8793,0.52191,-0.57188,-1.0309,-0.42162,0.2081,0.14067,0.45512,0.016659,1.9557,0.12743,0.027965
3.0633,-0.40221,-2.3778,0.39424,-0.10643,0.46051,0.11148,0.25295,0.0097571,4.49,0.1679,0.015436
0.81452,-1.3062,2.6142,-1.5554,-0.084906,0.3682,0.067434,0.33674,0.019829,2.949,0.36071,0.039553
-1.711,-0.050442,-3.1309,0.15952,-0.060057,-0.13936,0.029521,0.24453,0.018784,1.606,0.013132,0.049096
1.1161,-0.10906,0.35956,-0.83265,-0.65864,0.6389,0.12506,0.35084,0.016079,0.64285,0.1173,0.024148
0.35138,1.2749,1.5847,-0.27299,-0.69007,0.4325,0.10546,0.30892,0.013522,3.1454,0.11262,0.024285
-2.2664,0.47787,-0.42266,-0.2367,0.28008,-0.56433,0.034997,0.36027,0.018674,0.38141,0.056984,0.012307
-0.20099,-1.0972,-0.84954,-1.3087,-0.36642,-0.63785,0.2518,0.27223,0.0067641,4.9703,0.18906,0.0085246
0.73227,0.34106,-3.0241,0.10651,-0.1547,-0.62465,0.1145,0.25111,0.014447,3.5147,0.076815,0.018568
2.3732,-1.2299,2.7383,0.48154,-0.28911,-0.69357,0.22599,0.37105,0.01788,5.0989,0.12079,0.014411
-0.94362,-0.70308,-1.3495,-0.35569,0.067935,0.041723,0.24462,0.35876,0.0039995,2.7024,0.030576,0.0095724
2.6776,-1.5576,1.9184,-0.88038,-0.57422,-0.28641,0.10561,0.23389,0.012433,4.4755,0.12367,0.016072
-1.5547,0.2342,2.0034,-0.24673,0.14807,0.18348,0.080122,0.13534,0.014636,5.2187,0.14606,0.016037
-0.81604,-1.3238,0.66245,0.56979,0.24392,-0.52345,0.18138,0.30732,0.010321,5.0793,0.10026,0.015179
2.5857,-1.1739,-0.60194,-0.32212,-0.19127,-0.65005,0.097056,0.39922,0.018361,2.4595,0.14068,0.035064
-2.6514,-1.0115,-2.417,0.89379,0.69797,0.18821,0.10819,0.34372,0.019998,4.5377,0.27243,0.027918
-0.74144,-0.33838,-1.5931,-0.61536,0.27862,-0.2662,0.28014,0.40277,0.003985,3.7194,0.053666,0.0086208
0.88728,0.75175,1.1789,-0.56337,-0.5426,0.048749,0.15243,0.31898,0.016303,4.9348,0.080738,0.017661
1.6017,0.69681,-0.52299,1.0659,-0.40124,0.34327,0.1966,0.33617,0.01982,4.8743,0.1417,0.014599
-2.8638,1.3318,0.48426,-0.24723,-0.64637,0.30552,0.11487,0.24019,0.01249,4.5777,0.15002,0.017107
2.1059,-0.51131,1.6598,0.1821,0.25213,-0.94847,0.05195,0.23854,0.010584,4.7658,0.1321,0.02989
1.5154,0.23777,2.8179,-0.069098,-0.054252,0.26007,0.048353,0.23939,0.01627,1.4895,0.040771,0.038857
1.9845,1.5594,-2.4082,0.63805,0.21101,0.005932,0.085524,0.42312,0.018188,1.8215,0.13182,0.042168
-0.17969,-1.2888,-2.5265,0.54664,-0.25685,0.21402,0.23015,0.30068,0.0088597,5.3918,0.076025,0.01267
0.46399,-1.0331,-1.6221,-0.17954,1.1096,0.2535,0.25614,0.28473,0.0070829,2.3619,0.11423,0.0094778
-1.1591,1.2863,1.3725,-0.0067424,0.30327,1.3607,0.039567,0.086432,0.011956,4.1179,0.25885,0.017892
-0.25619,-1.259,0.2572,0.42635,-0.15552,0.22937,0.1963,0.35164,0.01865,4.36,0.063352,0.014488
-1.0655,-0.25525,-2.5112,-0.38233,-0.60988,-0.91019,0.20709,0.24015,0.016913,5.4697,0.13569,0.0086796
0.86046,0.77306,-0.28042,0.78673,0.07901,-0.11798,0.26012,0.29431,0.0054109,4.8136,0.076054,0.0085027
1.1081,-0.86078,2.8408,0.32553,-0.11901,0.086454,0.18335,0.36153,0.010562,4.7934,0.059883,0.015301
2.1787,0.35418,1.5215,-0.60013,-0.030415,0.0089176,0.10543,0.25134,0.014066,4.5972,0.10125,0.018895
-1.0645,-0.016885,1.562,0.43059,-0.12696,-1.3723,0.078031,0.19391,0.014158,4.7977,0.22047,0.021524
0.4009,1.4873,-1.8347,-0.64183,-0.43075,0.31985,0.1777,0.24741,0.019746,4.8853,0.11831,0.009967
0.24837,-1.0487,-2.2865,-0.39098,-0.42681,-0.56419,0.22857,0.23785,0.015547,5.0108,0.098018,0.0086612
-0.97382,-1.2348,2.4836,-0.68195,0.86378,-0.10379,0.070328,0.25301,0.019733,2.4535,0.16173,0.029983
1.8805,-1.208,1.9627,-0.48401,-0.88651,-0.14007,0.1159,0.23743,0.018473,4.6159,0.15731,0.018142
2.8466,-0.35955,0.84305,-0.057957,-0.62072,-0.48055,0.052808,0.11543,0.015449,4.3561,0.16115,0.012289
-0.37161,-0.75075,2.2564,-0.54992,0.19788,-0.13229,0.074141,0.38122,0.019334,2.1094,0.11554,0.044379
-2.0709,0.27337,1.1267,0.90412,0.028216,0.49366,0.062034,0.23311,0.015335,4.6422,0.19996,0.029381
-2.075,-0.06298,-2.3793,-0.23884,-0.15788,1.25,0.0604,0.48432,0.018483,0.64608,0.11448,0.051409
0.58964,-0.34944,-2.0703,0.56863,0.53727,-0.68839,0.28057,0.17562,0.016141,5.4291,0.085367,0.0050285
2.6748,-1.3672,1.849,0.93915,-0.19641,0.96576,0.18817,0.21637,0.011802,4.6257,0.14174,0.0099152
2.5467,1.3184,1.5706,0.78285,0.90905,0.13962,0.10841,0.25894,0.0057182,5.023,0.16035,0.0058239
-0.96303,-0.78532,2.9276,0.49814,0.084065,-0.93787,0.050049,0.26342,0.01664,0.60144,0.096622,0.045187
-1.2358,0.50056,2.3254,0.29944,-0.088007,0.93027,0.11291,0.26635,0.0064389,4.6969,0.18666,0.013712
2.2724,-1.5472,-1.1173,-0.41261,-0.047335,0.33523,0.075697,0.21713,0.018729,4.921,0.074201,0.023663
-2.8826,0.24848,-2.7075,0.13997,0.086854,0.48306,0.18923,0.27252,0.010869,5.2004,0.2549,0.011556
1.0028,-0.98506,2.3525,1.0023,0.24298,-1.095,0.066086,0.25917,0.018059,2.0836,0.15745,0.031651
-1.746,-0.95241,-1.9172,0.12216,-0.15242,0.24466,0.13345,0.24937,0.004408,4.7189,0.080385,0.0085094
-2.8977,1.566,0.3371,0.38067,0.15023,-0.070501,0.15768,0.22845,0.011081,4.7924,0.10546,0.011909
-1.006,0.24134,2.6167,0.048755,0.1535,0.084714,0.12461,0.29928,0.0072289,4.727,0.084661,0.018421
-1.291,-0.019346,-0.96173,-0.58095,-1.9755,-0.025978,0.41136,0.31665,0.0069258,3.5189,0.3507,0.0061203
-0.35661,1.3457,1.3114,0.85567,0.40186,0.24166,0.079425,0.2494,0.0098435,4.8831,0.18084,0.025955
-0.63244,-0.55418,2.4965,0.80349,-0.76413,-0.92893,0.083598,0.2297,0.017602,4.933,0.19595,0.021363
2.6082,1.3356,0.7482,0.63249,-0.74017,-0.020329,0.1233,0.36939,0.012465,1.6702,0.093682,0.026061
1.3568,1.5219,-1.2735,-1.1153,0.68163,-0.39959,0.051487,0.27353,0.019328,0.34747,0.14444,0.047304
-2.828,0.24918,-0.45729,-0.50862,-0.30063,0.515,0.071088,0.28641,0.010843,4.6302,0.10278,0.022324
2.219,1.5059,-1.4335,1.0406,0.54812,-0.3481,0.053467,0.24836,0.01126,0.29743,0.11949,0.040855
1.2709,-0.35094,0.55049,0.80138,-0.30325,-0.33573,0.12825,0.39605,0.016162,2.7534,0.13057,0.025363
0.048819,-1.2786,-2.3123,0.33199,-0.38088,-0.64901,0.16044,0.24492,0.01912,4.9374,0.073121,0.013122
-0.18633,-1.3215,-0.57774,-0.10078,0.45391,-0.36277,0.22523,0.23195,0.016111,2.8917,0.05594,0.0085367
-1.6551,-0.57146,1.6964,0.10734,0.26796,-0.62312,0.045224,0.23944,0.019428,1.6181,0.07697,0.041096
0.8961,1.0212,-0.20021,0.66527,0.91394,0.75217,0.42556,0.48651,0.0045003,5.4648,0.18301,0.0096006
-0.31034,-0.5125,2.152,-0.24511,0.057111,1.0972,0.046442,0.10237,0.0078447,4.6678,0.17981,0.01656
-0.86161,-0.7976,2.5538,0.54278,-0.73087,0.12412,0.061712,0.23639,0.011481,2.2357,0.11914,0.029563
-1.8815,0.41005,-2.1278,0.94804,0.98312,0.69182,0.13562,0.45925,0.0083673,3.3716,0.2198,0.01439
1.887,-1.5193,-1.5978,0.43188,-0.63112,-0.16051,0.12684,0.27263,0.014623,4.7206,0.12746,0.017068
0.60635,1.1536,2.5808,0.62354,0.40918,0.14952,0.070777,0.21847,0.013605,5.216,0.12017,0.023867
-1.1419,1.4798,0.62388,-0.91832,0.1738,0.6566,0.12106,0.36315,0.019759,3.1877,0.19219,0.024949
